county_fips,county,1900pop,1910,1910pop,1920,1920pop,1930,1930pop,1940,1940pop,1950,1950pop,1960,1960pop,1970,1970pop,1980,1980pop,1990,1990pop,2000,2000pop,2010,2010pop
117,St. Clair,19425,6.64,20715,12.88,23383,4.82,24510,11.53,27336,-2.37,26687,-4.87,25388,10.12,27956,47.39,41205,21.37,50009,29.46,64742,29.12,83593
115,Shelby,23684,13.79,26949,0.55,27097,1.77,27576,5.03,28962,4.83,30362,5.83,32132,18.38,38037,74.3,66298,49.87,99358,44.22,143293,36.14,195085
119,Sumter,32710,-12.26,28699,-10.91,25569,5.32,26929,1.46,27321,-13.58,23610,-15.12,20041,-15.3,16974,-0.39,16908,-4.34,16174,-8.51,14798,-6.99,13763
121,Talladega,35773,6,37921,8.13,41005,10.33,45241,14.57,51832,22.78,63639,2.92,65495,-0.33,65280,13.09,73826,0.38,74107,8.39,80321,2.45,82291
123,Tallapoosa,29675,4.58,31034,-4.16,29744,4.85,31188,13.09,35270,-0.56,35074,-0.19,35007,-3.33,33840,14.29,38676,0.39,38826,6.82,41475,0.34,41616
125,Tuscaloosa,36147,31.57,47559,12.87,53680,19.51,64153,18.52,76036,23.75,94092,15.89,109047,6.4,116029,18.54,137541,9.44,150522,9.54,164875,18.06,194656
127,Walker,25162,47.1,37013,36.69,50593,17.5,59445,8,64201,-0.67,63769,-14.99,54211,3.75,56246,22.07,68660,-1.44,67670,4.5,70713,-5.22,67023
129,Washington,11134,29.82,14454,-1.21,14279,14.61,16365,-1.08,16188,-3.56,15612,-1.54,15372,5.65,16241,3.57,16821,-0.76,16694,8.4,18097,-2.85,17581
131,Wilcox,35631,-5.11,33810,-8.07,31080,-19.95,24880,5.62,26279,-10.67,23476,-20.18,18739,-13,16303,-9.5,14755,-8.04,13568,-2.84,13183,-11.48,11670
133,Winston,9554,34.55,12855,11.85,14378,8.47,15596,20.2,18746,-2.65,18250,-18.59,14858,12.09,16654,31.82,21953,0.46,22053,12.65,24843,-1.45,24484
